OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
344,46.07109,-118.32622,998,D34,D,Broadleaf,Deciduous,Elderberry,Sambucus,Sambucus,Caprifoliaceae,,35,44,14.01,35,19.5,0,Good,A,,,,,,,,No,
345,46.07109,-118.3262,1003,D35,D,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,10,3.18,12,6,0,Fair,A,,,,,,,,,
346,46.07103,-118.32624,992,D36,D,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,10,3.18,15,8.5,0.15,Good,A,,,,,,,,,
347,46.07103,-118.32623,1001,D37,D,Conifer,Evergreen,Hiba Arborvitae (group of 4),Thujopsis,Thujopsis dolabrata,Cupressaceae,,25,biggest 26,8.28,25,15,0.15,Good,A,,,,,,x,x,,
348,46.071,-118.32617,1003,D38,D,Conifer,Evergreen,Hiba Arborvitae (group of 2),Thujopsis,Thujopsis dolabrata,Cupressaceae,,25,biggest 24,7.64,25,7.5,0.25,Good,A,,,,,,x,x,No,
349,46.071,-118.32619,994,D39,D,Conifer,Evergreen,Spreading Yew,Taxus,Taxus  x media 'Densiformis',Taxaceae,,65,49,15.6,15,15,0.35,Good,A,,,,,,x,x,,
350,46.071,-118.32612,973,D40,D,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,9,2.87,15,8.5,0,Good,A,,,,,,,,,
351,46.07088,-118.32595,997,D41,D,Conifer,Evergreen,Brewer's Weeping Spruce,Picea,Picea breweriana,Pinaceae,"SW OR, NW Ca",92,99,31.53,75,14,0.4,Good,B,,,,,,x,x,,
352,46.07081,-118.32596,996,D42,D,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",92,111,35.35,55,25,0,Good,A,,,,,,,,Yes,
353,46.07084,-118.32606,999,D43,D,Conifer,Evergreen,Alaska Cedar,Callitropsis,Callitropsis nootkatensis,Cupressaceae,West Coast N. America,7,7,2.3,8,1,0,Good,A,,,,,,x,x,,
354,46.07079,-118.32613,1009,D44,D,Conifer,Evergreen,Alaska Cedar,Callitropsis,Callitropsis nootkatensis,Cupressaceae,West Coast N. America,7,7,2.3,8,1,0,Good,A,,,,,,x,x,,
355,46.0708,-118.3262,973,D45,D,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,25,15,4.78,45,15,0.2,Fair,A,,,,,,,,,
356,46.07082,-118.32622,971,D46,D,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,45,93,29.62,45,13,0.4,Good,A,,,,,,,,,
357,46.071192,-118.326371,997,D47,D,Broadleaf,Deciduous,Elm,Ulmus,Ulmus,Ulmaceae,northern  hemisphere,20,34,7.64,55,16,0,Good,B,,,,,,,,,
358,46.071195,-118.326302,997,D48,D,Broadleaf,Deciduous,Elm (clump of 4),Ulmus,Ulmus,Ulmaceae,N. hemisphere,20,biggest 42,13.38,,15,0,Good,A,,,,,,,,,
359,46.071136,-118.326301,986,D49,D,Broadleaf,Deciduous,Elm,Ulmus,Ulmus,Ulmaceae,northern  hemisphere,20,54,17.2,,9,0,Good,A,,,,,,,,,
360,46.071127,-118.326312,986,D50,D,Broadleaf,Deciduous,Elm,Ulmus,Ulmus,Ulmaceae,northern  hemisphere,20,40,12.74,,11.5,0,Good,A,,,,,,,,,
361,46.071138,-118.326352,1010,D51,D,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,20,43,13.69,,9,0,Good,A,,,,,,,,,
362,46.071068,-118.326368,1023,D52,D,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,50,72,22.93,60,18,0.4,Good,A,,,,,,,,,
363,46.071026,-118.326412,1023,D53,D,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,10,21,6.69,30,7,0.5,Good,B,,,,,,,,,
364,46.070907,-118.326404,1007,D54,D,Broadleaf,Deciduous,Quaking Aspen,Populus,Populus tremuloides,Salicaceae,,10,16,5.1,25,5.5,0.3,Good,B,,,,,,,,,
365,46.070885,-118.326439,1007,D55,D,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,40,31,9.87,20,13,0,Fair,A,,,,,,,,,
