OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
1144,46.06943,-118.33193,985,L121,L,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,15,12,3.82,15,5,0,Good,B,,Yes, 219 Marcus,,,,,,
1145,46.069344,-118.331944,986,L122,L,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,11,3.5,15,5,0,Good,B,,Yes, 219 Marcus,,,,,,
1146,46.069392,-118.331976,986,L123,L,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,12,3.82,20,5,0,Good,B,,Yes, 219 Marcus,,,,,,
1147,46.06944,-118.33207,980,L124,L,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,70,36,11.46,35,14,0,Good,B,,Yes, 219 Marcus,,,,,,
1148,46.06923,-118.33238,984,L125,L,Broadleaf,Deciduous,Birch,Betula,Betula,Betulaceae,N. hemisphere,70,72,22.93,60,25,0,Fair,B,,Yes, 219 Marcus,,,,,,
1149,46.06942,-118.33237,978,L126,L,Broadleaf,Deciduous,Weeping Cherry,Prunus,Prunus,Rosaceae,,17,39,12.42,25,11,0,Good,A,,Yes, 219 Marcus,,,,,,
1150,46.06934,-118.33245,978,L127,L,Broadleaf,Deciduous,Weeping Cherry,Prunus,Prunus,Rosaceae,,17,48,15.29,25,19,0,Good,A,,Yes, 219 Marcus,,,,,,
1151,46.06949,-118.33201,930,L128,L,Broadleaf,Deciduous,Flowering Plum (multi-stemmed),Prunus,Prunus,Rosaceae,,30,24,7.64,25,8,0,Good,B,,,,,,,,,
1152,46.06949,-118.33204,936,L129,L,Broadleaf,Deciduous,Flowering Plum,Prunus,Prunus,Rosaceae,,30,18,5.73,25,7,0,Good,B,,,,,,,,,
1153,46.06944,-118.33199,939,L130,L,Broadleaf,Deciduous,Japanese Maple (multi-stemmed),Acer,Acer palmatum,Sapindaceae,,30,22,7,20,12,0,Good,B,,,,,,,,,
1154,46.068649,-118.331605,981,L131,L,Broadleaf,Deciduous,White Oak,Quercus,Quercus garryana,Fagaceae,,10,8,2.55,10,5,0,Good,A,,,,,,,,,
1155,46.069965,-118.331223,981,L132,L,Conifer,Evergreen,Korean Fir,Abies,Abies koreana 'Horstmann's Silberlocke',Pinaceae,,7,7,2.3,6,1,0,Good,A,,,,,,,,,
1156,46.069823,-118.331271,978,L133,L,Conifer,Evergreen,Spruce?,Unidentified,Unidentified,Unidentified,,5,6,1.91,4,1,0,Good,A,,,,,,,,,
1157,46.069586,-118.331142,978,L134,L,Conifer,Evergreen,Giant Sequoia,Sequoiadendron,Sequoiadendron giganteum 'Glaucum',Cupressaceae,,5,8,2.55,7,2,0,Good,A,,,,,,,,,
1158,46.069469,-118.331953,978,L135,L,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,25-30yr,30,9.55,20,9,0,Good,A,,,,,,,,,
1159,46.069397,-118.332551,1121,L136,L,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,5,7,2.3,10,4,0,Fair,B,,Yes, KidsPlc. 209Marcus,,,,,,
1160,46.069444,-118.332576,979,L137,L,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,5,6,1.91,7,2,0,Fair,B,,Yes, KidsPlc. 209Marcus,,,,,,
1161,46.069521,-118.332546,973,L138,L,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,5,5,1.6,6,2,0,Fair,B,,Yes, KidsPlc. 209Marcus,,,,,,
1162,46.06946,-118.332469,968,L139,L,Broadleaf,Deciduous,Red Maple,Acer,Acer rubrum,Sapindaceae,,,61,19.43,60,29,0,Good,A,,Yes, KidsPlc. 209Marcus,,,,,,
1163,46.069569,-118.332503,973,L140,L,Broadleaf,Deciduous,Linden,Tilia,Tilia,Tiliaceae,,,53,16.88,60,19,0,Good,A,,Yes, KidsPlc. 209Marcus,,,,,,
1164,46.069577,-118.332407,980,L141,L,Broadleaf,Deciduous,Ginkgo,Ginkgo,Ginkgo biloba,Ginkgoaceae,,,42,13.38,30,17,0,Good,A,,Yes, KidsPlc. 209Marcus,,,,,,
1165,46.069628,-118.332039,981,L142,L,Broadleaf,Deciduous,Flowering Pear,Pyrus,Pyrus,Rosaceae,,,32,10.19,35,6,0,Fair,B,,Yes, KidsPlc. 209Marcus,,,,,,
1166,46.069625,-118.332083,983,L143,L,Broadleaf,Deciduous,Flowering Pear,Pyrus,Pyrus,Rosaceae,,,29,9.24,35,6,0,Fair,B,,Yes, KidsPlc. 209Marcus,,,,,,
1167,46.069583,-118.331976,986,L144,L,Broadleaf,Deciduous,Flowering Pear,Pyrus,Pyrus,Rosaceae,,,34,10.83,35,7,0,Fair,B,,Yes, KidsPlc. 209Marcus,,,,,,
1168,46.069516,-118.331942,987,L145,L,Broadleaf,Deciduous,Oak,Quercus,Quercus,Fagaceae,,,44,14.01,35,21,0,Good,A,,Yes, KidsPlc. 209Marcus,,,,,,
1170,46.06946,-118.33083,973,M1,M,Broadleaf,Deciduous,Water Birch,Betula,Betula occidentalis,Betulaceae,,30,45,14.33,30,18,0,Good,A,,,,,,x,x,,
1172,46.06954,-118.33053,980,M3,M,Broadleaf,Deciduous,Horse Chestnut (multi-stemmed),Aesculus,Aesculus,Sapindaceae,,25,48,15.29,45,10,0,Fair,B,,,,,,,,,
1173,46.06954,-118.33052,981,M4,M,Broadleaf,Deciduous,Horse Chestnut,Aesculus,Aesculus,Sapindaceae,,20,62,19.75,45,16,0,Fair,B,,,,,,,,,
1174,46.06965,-118.33035,982,M5,M,Broadleaf,Deciduous,Water Birch (multi-stemmed),Betula,Betula occidentalis,Betulaceae,,10,16,5.1,35,10,0,Poor,B,,,,,,x,x,,
1176,46.06969,-118.33037,986,M7,M,Broadleaf,Deciduous,Cherry (multi-stemmed),Prunus,Prunus,Rosaceae,,20,18,5.73,20,13,0,Good,B,,,,,,,,,
1177,46.06973,-118.33033,986,M8,M,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,12,26,8.28,35,7,0,Good,B,,,,,,,,,
1178,46.06975,-118.33027,992,M9,M,Broadleaf,Deciduous,Ginkgo,Ginkgo,Ginkgo biloba,Ginkgoaceae,,22,56,17.83,50,22,0,Good,A,,,,,,,,,
1179,46.06991,-118.33038,990,M10,M,Broadleaf,Deciduous,Paper Birch,Betula,Betula papyrifera,Betulaceae,,20,25,7.96,40,11,0,Good,A,,,,,,x,x,,
1180,46.06988,-118.33034,990,M11,M,Broadleaf,Deciduous,Paper Birch,Betula,Betula papyrifera,Betulaceae,,20,23,7.32,40,11,0,Good,A,,,,,,x,x,,
1181,46.06988,-118.33026,992,M12,M,Broadleaf,Deciduous,Paper Birch,Betula,Betula papyrifera,Betulaceae,,20,22,7,40,13,0,Good,A,,,,,,x,x,,
1182,46.06967,-118.33042,994,M13,M,Conifer,Evergreen,Giant Sequoia,Sequoiadendron,Sequoiadendron giganteum 'Pendulum',Cupressaceae,,10,11,3.5,9,1,0,Good,A,,,,,,,,,
1183,46.06959,-118.33063,996,M14,M,Broadleaf,Deciduous,Japanese Maple (multi-stemmed),Acer,Acer palmatum,Sapindaceae,,40,25,7.96,25,14,0.7,Fair,A,,,,,,,,,
1184,46.06965,-118.33065,995,M15,M,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,25,75,23.89,45,18,0,Good,A,,,,,,,,,
1185,46.06964,-118.33081,992,M16,M,Broadleaf,Deciduous,Horse Chestnut,Aesculus,Aesculus,Sapindaceae,,40,87,27.7,45,21,0,Good,B,,,,,,,,,
1186,46.06974,-118.33088,994,M17,M,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,15,54,17.2,35,17,0,Good,C,,,,,,,,,
1188,46.06981,-118.33096,993,M19,M,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,15,48,15.29,35,12,0,Good,C,,,,,,,,,
1189,46.0699,-118.33088,995,M20,M,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,15,34,10.83,25,11,0,Good,B,,,,,,,,,
1190,46.06992,-118.33073,993,M21,M,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,15,14,4.46,12,4,0,Poor,B,,,,,,,,,
1191,46.06995,-118.33049,995,M22,M,Broadleaf,Deciduous,Japanese Maple,Acer,Acer palmatum,Sapindaceae,,15,14,4.46,15,5,0,Good,B,,,,,,,,,
1192,46.07017,-118.33116,958,M23,M,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,15,26,8.28,25,11,0,Good,C,,,,,,,,,
1193,46.07004,-118.33101,965,M24,M,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,15,25,7.96,25,11,0,Good,C,,,,,,,,,
1194,46.07007,-118.33097,963,M25,M,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,15,20,6.37,23,10,0,Good,B,,,,,,,,,
1196,46.07014,-118.33076,966,M27,M,Broadleaf,Deciduous,Wych Elm,Ulmus,Ulmus glabra,Ulmaceae,northern  hemisphere,115,187,59.55,100,46,0.5,fair,B Mallet tx 9/21,,,,,,,,Yes,
1198,46.07022,-118.33063,968,M29,M,Broadleaf,Deciduous,Oak,Quercus,Quercus,Fagaceae,,30,79,25.16,60,28,0.3,Good,B,,,,,,,,,
1199,46.07018,-118.33053,971,M30,M,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,10,7,2.3,12,6,0,Good,A,,,,,,,,,
1200,46.06991,-118.3305,972,M31,M,Broadleaf,Deciduous,Beech,Fagus,Fagus,Fagaceae,N. hemisphere,15,27,8.6,35,9,0,Good,A,,,,,,,,,
1201,46.07027,-118.33037,978,M32,M,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,10,8,2.55,10,6,0,Good,A,,,,,,,,,
1202,46.07006,-118.33044,981,M33,M,Broadleaf,Deciduous,Beech,Fagus,Fagus,Fagaceae,N. hemisphere,15,24,7.64,30,7,0,Good,A,,,,,,,,,
1203,46.07004,-118.33034,979,M34,M,Broadleaf,Deciduous,Cottonwood,Populus,Populus,Salicaceae,,70,168,53.5,80,34,,Fair,A,,,,,,,,,
1204,46.06985,-118.33036,977,M35,M,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",35,71,22.61,40,18,0,Fair,B,,,,,,,,,
1205,46.0698,-118.33015,977,M36,M,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,30,43,13.69,40,16,0,Poor,C,,,,,,,,,
1207,46.06993,-118.33011,976,M38,M,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",30,40,12.74,40,18,0,Good,B,,,,,,,,,
1208,46.06992,-118.33015,975,M39,M,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",30,43,13.69,50,12,0,Poor,B,,,,,,,,,
1209,46.06992,-118.33021,976,M40,M,Broadleaf,Deciduous,Water Birch (multi-stemmed),Betula,Betula occidentalis,Betulaceae,,10,20,6.37,30,16,0,Good,A,,,,,,x,x,,
1210,46.06993,-118.33012,976,M41,M,Broadleaf,Deciduous,Horse Chestnut,Aesculus,Aesculus,Sapindaceae,,30,41,13.06,35,15,0,Poor,B,,,,,,,,,
1211,46.07008,-118.33033,979,M42,M,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,30,97,30.89,60,36,0.4,Good,B,,,,,,,,,
1212,46.07028,-118.33036,981,M43,M,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,10,7,2.3,12,5,0,Good,B,,,,,,,,,
1213,46.07027,-118.33029,979,M44,M,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,10,9,2.87,12,8,0,Good,B,,,,,,,,,
1214,46.07008,-118.33018,978,M45,M,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",35,77,24.52,60,29,0,Good,B,,,,,,,,,
1215,46.07013,-118.33011,975,M46,M,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",35,59,18.8,60,22,0.5,Good,B,,,,,,,,,
1216,46.0703,-118.33009,980,M47,M,Broadleaf,Deciduous,Ash,Fraxinus,Fraxinus,Oleaceae,,,74,23.57,56,22,0.2,Good,A,,,,,,,,No,
1217,46.07025,-118.33001,981,M48,M,Broadleaf,Deciduous,Ash,Fraxinus,Fraxinus,Oleaceae,,,72,22.93,55,29,0.2,Good,A,,,,,,,,,
1218,46.07024,-118.32988,982,M49,M,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,40,93,29.62,80,26,0,Good,B,,,,,,,,,
1219,46.07002,-118.32969,593,M50,M,Broadleaf,Deciduous,Bur Oak,Quercus,Quercus macrocarpa,Fagaceae,,12,14,4.46,20,8,0,Good,A,,,,,,,,,
1220,46.07007,-118.32983,592,M51,M,Broadleaf,Deciduous,Bur Oak,Quercus,Quercus macrocarpa,Fagaceae,,20,26,8.28,40,10,0,Good,B,,,,,,,,,
1221,46.07017,-118.32966,630,M52,M,Broadleaf,Deciduous,Sycamore Maple (multi-stemmed),Acer,Acer pseudoplatanus,Sapindaceae,,35,41,13.06,55,22,0,Good,A,,,,,,,,,
1222,46.07019,-118.32966,645,M53,M,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,35,40,12.74,55,17,0,Good,B,,,,,,,,,
1223,46.07013,-118.32974,661,M54,M,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",45,79,25.16,65,28,0,Good,A,,,,,,,,,
1224,46.07003,-118.32994,672,M55,M,Broadleaf,Deciduous,Elm,Ulmus,Ulmus,Ulmaceae,northern  hemisphere,55,93,29.62,75,30,0,Fair,A,,,,,,,,No,
1225,46.07001,-118.32996,693,M56,M,Broadleaf,Deciduous,Europen White Birch,Betula,Betula pendula,Betulaceae,,20,21,6.69,42,8,0,Fair,A,,,,,,,,,
1226,46.06991,-118.33,717,M57,M,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,,48,15.29,45,13,0,Good,B,,,,,,,,,
1227,46.0699,-118.33007,725,M58,M,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,,33,10.51,40,8,0,Good,B,,,,,,,,No,
1228,46.0699,-118.32998,739,M59,M,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,,39,12.42,45,14,0,Good,B,,,,,,,,,
1229,46.06986,-118.33005,742,M60,M,Conifer,Evergreen,Western Red Cedar,Thuja,Thuja plicata,Cupressaceae,,,27,8.6,35,10,0,Good,B,,,,,,,x,No,
1230,46.0698,-118.32994,758,M61,M,Broadleaf,Deciduous,Crack Willow,Salix,Salix fragilis,Salicaceae,Europe & west Asia,,118,37.58,45,34,0,Good,A,,,,,,,,,
1231,46.0697,-118.33015,789,M62,M,Broadleaf,Deciduous,Water Birch (multi-stemmed),Betula,Betula occidentalis,Betulaceae,,12,18,5.73,40,17,0,Good,B,,,,,,x,x,,
1233,46.06973,-118.33018,812,M64,M,Broadleaf,Deciduous,Sycamore Maple,Acer,Acer pseudoplatanus,Sapindaceae,,35,58,18.47,50,18,0,Fair,B,,,,,,,,,
1234,46.06967,-118.33023,821,M65,M,Broadleaf,Deciduous,Ash,,,,,8,18,5.73,15,4,0,Good,A,,,,,,,,,
1235,46.06962,-118.33032,837,M66,M,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa,Bignoniaceae,,20,35,11.15,35,12,0,Good,B,,,,,,,,,
1236,46.06962,-118.33029,844,M67,M,Conifer,Evergreen,American Arborvitae,Thuja,Thuja occidentalis,Cupressaceae,,10,7,2.3,6,2,0,Good,A,,,,,,,x,,
1237,46.06962,-118.33035,859,M68,M,Broadleaf,Deciduous,Curly Willow,Salix,Salix matsudana 'Tortuosa',Salicaceae,,25,66,21.2,45,30,0,Fair,A,,,,,,,,,
1240,46.06947,-118.33045,880,M71,M,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,15,25,7.96,10,4,0,Fair,B,,,,,,,,,
1241,46.06941,-118.33041,1001,M72,M,Broadleaf,Deciduous,Curly Willow,Salix,Salix matsudana 'Tortuosa',Salicaceae,,45,114,36.31,65,30,0,Fair,A,,,,,,,,,
1243,46.06941,-118.33041,995,M74,M,Conifer,Deciduous,Dawn Redwood,Metasequoia,Metasequoia glyptostroboides,Cupressaceae,China,25,76,24.2,60,19,0.25,Good,A,,,,,,,,,
1244,46.06941,-118.33041,994,M75,M,Broadleaf,Deciduous,Little Leaf Linden,Tilia,Tilia cordata,Tiliaceae,,25,66,21.2,70,14,0,Good,A,,,,,,,,,
1245,46.069337,-118.330826,806,N1,N,Broadleaf,Deciduous,Eastern Redbud,Cercis,Cercis canadensis,Fabaceae,,15,42,13.38,20,8,0,fair,A,,,,,,,,,
1246,46.06921,-118.330813,925,N2,N,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,9,12,3.82,18,4,0,Good,A,,,,,,,x,,
1247,46.069272,-118.330851,937,N3,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,16,5.1,25,10.5,0,Good,A,,,,,,,,,
1248,46.069229,-118.330944,949,N4,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,27,8.6,25,7,0,Good,A,,,,,,,,,
1249,46.06918,-118.330975,951,N5,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,25,7.96,25,10,0,Good,A,,,,,,,,,
1250,46.069116,-118.330999,954,N6,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,39,12.42,25,14,0,Good,A,,,,,,,,,
1251,46.069004,-118.331036,952,N7,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,44,14.01,28,12,0,Good,A,,,,,,,,,
1252,46.068939,-118.331317,957,N8,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,44,14.01,30,12,0,Good,A,,,,,,,,,
1253,46.068869,-118.331231,958,N9,N,Broadleaf,Deciduous,Hawthorn,Crataegus,Crataegus,Rosaceae,temperate northern hemiaphere,20,53,16.88,30,16,0,Good,A,,,,,,,,,
1254,46.068803,-118.331105,966,N10,N,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,50,116,36.94,65,12,0.5,Good,A,,,,,,,x,,
1265,46.068939,-118.330931,963,N21,N,Broadleaf,Deciduous,Hornbeam,Carpinus,Carpinus betulus,Betulaceae,,20,48,15.29,50,15,0,Good,B,,,,,,,,,
1266,46.068933,-118.330994,961,N22,N,Broadleaf,Deciduous,Hornbeam,Carpinus,Carpinus betulus,Betulaceae,,20,56,17.83,45,16,0,Good,B,,,,,,,,,
1267,46.068851,-118.330849,966,N23,N,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,11,3.5,20,7,0,Good,B,,,,,,,,,
1268,46.068869,-118.330812,968,N24,N,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,20,15,4.78,25,6,0,Good,B,,,,,,,,,
1269,46.068841,-118.330846,968,N25,N,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,25,23,7.32,25,11,0,Good,B,,,,,,,,,
1284,46.069277,-118.330287,973,N40,N,Broadleaf,Deciduous,Flowering Dogwood,Cornus,Cornus florida,Cornaceae,,10,8,2.55,15,4,0,Good,B,,,,,,,,,
1285,46.069216,-118.330595,971,N41,N,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,5,10,3.18,15,4,0,Good,A,,,,,,,,,
1295,46.068526,-118.329583,976,N51,N,Broadleaf,Deciduous,Red Maple,Acer,Acer rubrum,Sapindaceae,,15,32,10.19,25,13,,Good,B,,,,,,,,,
1296,46.068692,-118.329519,979,N52,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos,Fabaceae,,70,88,28.03,55,32,,Good,A,,,,,,,,,
1297,46.06871,-118.32951,1013,N53,N,Conifer,Evergreen,Pine,Pinus,Pinus,Pinaceae,,20,1,0.32,20,6,0,Good,B,,,,,,,,No,
1298,46.06855,-118.32923,1014,N54,N,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",35,66,21.2,45,26,0,Good,B,,,,,,,,,
1299,46.06871,-118.32914,1000,N55,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos,Fabaceae,,35,48,15.29,35,22,0,Good,B,,,,,,,,,
1300,46.06877,-118.32923,994,N56,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos,Fabaceae,,35,52,16.56,40,24,0,Good,A,,,,,,,,,
1301,46.069013,-118.329346,981,N57,N,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,20,60,19.11,30,14,0,Good,A,,,,,,x,x,,
1302,46.06899,-118.329393,982,N58,N,Broadleaf,Deciduous,Yellow Flowering Dogwood,Cornus,Cornus mas,Cornaceae,,20,14,4.46,18,10,0,Good,A,,,,,,,,,
1303,46.0689,-118.329469,981,N59,N,Broadleaf,Deciduous,Tricolor Beech,Fagus,Fagus sylvatica 'Tricolor',Fagaceae,,5,4,1.27,6,2,0,Good,A,,,,,,,,,
1304,46.068946,-118.329793,978,N60,N,Broadleaf,Deciduous,Tricolor Beech,Fagus,Fagus sylvatica 'Tricolor',Fagaceae,,5,4,1.27,6,2,0,Good,A,,,,,,,,,
1305,46.069004,-118.329874,983,N61,N,Broadleaf,Deciduous,Yellow Flowering Dogwood,Cornus,Cornus mas,Cornaceae,,20,13,4.14,20,11,0,Good,A,,,,,,,,,
1306,46.068989,-118.329832,985,N62,N,Conifer,Evergreen,Incense Cedar,Calocedrus,Calocedrus decurrens,Cupressaceae,W N. America,70,100,31.85,65,20,0.75,Good,A,,,,,,x,x,,
1307,46.068753,-118.330911,967,N63,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos 'Suncole',Fabaceae,,,4,1.27,9,3,,Good,A,,,,,,,,,
1308,46.068791,-118.330562,967,N64,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos 'Suncole',Fabaceae,,,4,1.27,9,3,,Good,A,,,,,,,,,
1309,46.068822,-118.330403,965,N65,N,Broadleaf,Deciduous,Paperbark Maple,Acer,Acer griseum,Sapindaceae,,,3,0.96,8,3,,Good,A,,,,,,,,,
1310,46.068821,-118.33052,967,N66,N,Broadleaf,Deciduous,Paperbark Maple,Acer,Acer griseum,Sapindaceae,,,3,0.96,7,3,,Good,A,,,,,,,,,
1311,46.068806,-118.330605,966,N67,N,Broadleaf,Deciduous,Paperbark Maple,Acer,Acer griseum,Sapindaceae,,,3,0.96,8,3,,Good,A,,,,,,,,,
1312,46.06858,-118.330471,968,N68,N,Broadleaf,Deciduous,Elm 'Morton Glossy',Ulmus,Ulmus 'Morton Glossy',Ulmaceae,,,6,1.91,15,3,,Good,A,,,,,,,,,
1313,46.068614,-118.330663,968,N69,N,Broadleaf,Deciduous,Elm 'Morton Glossy',Ulmus,Ulmus 'Morton Glossy',Ulmaceae,,,6,1.91,15,3,,Good,A,,,,,,,,,
1314,46.068617,-118.330853,965,N70,N,Broadleaf,Deciduous,Elm 'Morton Glossy',Ulmus,Ulmus 'Morton Glossy',Ulmaceae,,,6,1.91,15,3,,Good,A,,,,,,,,,
1315,46.068612,-118.331005,963,N71,N,Broadleaf,Deciduous,Elm 'Morton Glossy',Ulmus,Ulmus 'Morton Glossy',Ulmaceae,,,6,1.91,15,3,,Good,A,,,,,,,,,
1316,46.068438,-118.331178,960,N72,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos 'Suncole',Fabaceae,,,4,1.27,9,3,,Good,A,,,,,,,,,
1317,46.068465,-118.330866,963,N73,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos 'Suncole',Fabaceae,,,4,1.27,9,3,,Good,A,,,,,,,,,
1318,46.068471,-118.330529,964,N74,N,Broadleaf,Deciduous,Honey Locust,Gleditsia,Gleditsia triacanthos 'Suncole',Fabaceae,,,4,1.27,9,3,,Good,A,,,,,,,,,
1319,46.068885,-118.33019,970,N75,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,8,2,,Good,A,,,,,,,,,
1320,46.068952,-118.33016,972,N76,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,8,2,,Good,A,,,,,,,,,
1321,46.069036,-118.330233,974,N77,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,7,2,,Good,A,,,,,,,,,
1322,46.069121,-118.33023,972,N78,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,7,2,,Good,A,,,,,,,,,
1323,46.069186,-118.330193,974,N79,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,6,2,,Good,A,,,,,,,,,
1324,46.068797,-118.330118,980,N80,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,7,2,,Good,A,,,,,,,,,
1325,46.068858,-118.330181,980,N81,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,7,2,,Good,A,,,,,,,,,
1326,46.068949,-118.330145,981,N82,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,8,2,,Good,A,,,,,,,,,
1327,46.069058,-118.330141,982,N83,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,8,2,,Good,A,,,,,,,,,
1328,46.069111,-118.330123,985,N84,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,8,2,,Good,A,,,,,,,,,
1329,46.069184,-118.330132,987,N85,N,Broadleaf,Deciduous,Japanese Tree Lilac,Syringa,Syringa reticulata 'Ivory Silk',Oleaceae,,,5,1.6,8,2,,Good,A,,,,,,,,,
